time,datetime,latitude,longitude,altitude,frames,animals,compass,pitch,roll,gimbal_pitch
0,2023-01-12 09:04:11,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
100,2023-01-12 09:04:11,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
200,2023-01-12 09:04:11,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
300,2023-01-12 09:04:11,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
400,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
500,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
600,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
700,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
800,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
900,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
1000,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.5,2.2,-0.8,-16.1
1100,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.7,2.3,-0.8,-16.1
1200,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.6,2.1,-0.8,-16.1
1300,2023-01-12 09:04:12,0.381201,36.86349,0.0,[],[],318.6,2.2,-0.8,-16.1
1400,2023-01-12 09:04:13,0.381201,36.86349,0.0,[],[],318.6,2.1,-0.8,-16.1
1500,2023-01-12 09:04:13,0.381201,36.86349,0.0,[],[],318.6,2.1,-0.8,-16.1
1600,2023-01-12 09:04:13,0.381201,36.86349,0.0,[],[],318.6,2.2,-0.8,-16.1
1700,2023-01-12 09:04:13,0.381201,36.86349,0.0,[],[],318.6,2.2,-0.8,-16.1
1800,2023-01-12 09:04:13,0.381201,36.86349,0.0,[],[],318.6,2.2,-0.8,-16.1
1900,2023-01-12 09:04:13,0.381201,36.86349,0.0,[],[],318.6,2.2,-0.8,-16.1
2000,2023-01-12 09:04:13,0.381201,36.86349,0.0,[],[],318.6,2.2,-0.8,-16.1
2100,2023-01-12 09:04:13,0.381201,36.86349,0.0,[],[],318.6,2.2,-0.8,-16.1
2200,2023-01-12 09:04:13,0.381201,36.86349,0.0,[],[],318.6,2.2,-0.8,-16.1
